Lab nr.	Matrix	Rapp.frist 01.02.21   Prøvested	LIMS NR	Unit1	Unit2	Unit3	Label	Data	Data>LOQ	LOQ	Unit	HalfLOD	Det_freq
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-66	"-0,00881"		"0,00881"	ng/L	"0,00441"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-71	"-0,00689"		"0,00689"	ng/L	"0,00345"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-77	"-0,00675"		"0,00675"	ng/L	"0,00338"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-85	"-0,00791"		"0,00791"	ng/L	"0,00396"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-99	"-0,0225"		"0,0225"	ng/L	"0,0113"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-100	"-0,0111"		"0,0111"	ng/L	"0,00555"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-119	"-0,00724"		"0,00724"	ng/L	"0,00362"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-126	"-0,00601"		"0,00601"	ng/L	"0,00301"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-138	"-0,0219"		"0,0219"	ng/L	"0,0110"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-153	"-0,0206"		"0,0206"	ng/L	"0,0103"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-154	"-0,0174"		"0,0174"	ng/L	"0,00870"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-156	"-0,0337"		"0,0337"	ng/L	"0,0169"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-183	"-0,0144"		"0,0144"	ng/L	"0,00720"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-184	"-0,0137"		"0,0137"	ng/L	"0,00685"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-191	"-0,0193"		"0,0193"	ng/L	"0,00965"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-196	"-0,0266"		"0,0266"	ng/L	"0,0133"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-197	"-0,0208"		"0,0208"	ng/L	"0,0104"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-202	"-0,0311"		"0,0311"	ng/L	"0,0155"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-206	"-0,0866"		"0,0866"	ng/L	"0,0433"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-207	"-0,0547"		"0,0547"	ng/L	"0,0273"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBDE-209	"-0,732"		"0,732"	ng/L	"0,366"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	ATE (TBP-AE)	"-0,0263"		"0,0263"	ng/L	"0,0132"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	a-TBECH	"-0,208"		"0,208"	ng/L	"0,104"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	b-TBECH	"-0,154"		"0,154"	ng/L	"0,0770"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	g/d-TBECH	"-0,0856"		"0,0856"	ng/L	"0,0428"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	BATE	"-0,0294"		"0,0294"	ng/L	"0,0147"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBT	"-0,0593"		"0,0593"	ng/L	"0,0297"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBEB	"-0,0323"		"0,0323"	ng/L	"0,0161"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	PBBZ	"-0,492"		"0,492"	ng/L	"0,246"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	HBB	"-0,192"		"0,192"	ng/L	"0,0960"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	DPTE	"-0,0253"		"0,0253"	ng/L	"0,0127"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	EHTBB	"-0,0353"		"0,0353"	ng/L	"0,0177"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	BTBPE	"-0,0586"		"0,0586"	ng/L	"0,0293"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	TBPH (BEH /TBP)	"-0,141"		"0,141"	ng/L	"0,0705"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	DBDPE	"-27,5"		"27,5"	ng/L	"13,8"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	SCCP	"-1,84"		"1,84"	ng/L	"0,918"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	MCCP	"-5,05"		"5,05"	ng/L	"2,52"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"4,4-bis-A"	"89,0"	"89,0"		ng/L	"89,0"	>LOQ
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"2,4-bis-A"	"-6,30"		"6,30"	ng/L	"3,15"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Bis-FL	"-18,0"		"18,0"	ng/L	"9,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Bis-B	"-12,0"		"12,0"	ng/L	"6,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	Bis-E	"-10,0"		"10,0"	ng/L	"5,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"4,4-bis-S"	"16,0"	"16,0"		ng/L	"16,0"	>LOQ
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"2,4-bis-S"	"-3,30"		"3,30"	ng/L	"1,65"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"4,4-bis-F"	"-75,0"		"75,0"	ng/L	"37,5"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"2,4-bis-F"	"-86,0"		"86,0"	ng/L	"43,0"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	"2,2-bis-F"	"-16,0"		"16,0"	ng/L	"8,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	bis-M	"-5,00"		"5,00"	ng/L	"2,50"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	bis-Z	"-18,0"		"18,0"	ng/L	"9,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	bis-AF	"-18,0"		"18,0"	ng/L	"9,00"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	bis-AP	"-9,40"		"9,40"	ng/L	"4,70"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	TBBPA	"-37,0"		"37,0"	ng/L	"18,5"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	4-tert-octylphenol	"-24,0"		"24,0"	ng/L	"12,0"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	4-octylphenol	"-27,0"		"27,0"	ng/L	"13,5"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	4-nonylphenol	"-45,0"		"45,0"	ng/L	"22,5"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	AO Mb1	"-86,0"		"86,0"	ng/L	"43,0"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	D4				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	D5				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	D6				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	M3T				ng/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	52  Cr  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	56  Fe  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	60  Ni  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	63  Cu  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	66  Zn  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	75  As  [ He ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	107  Ag  [ No Gas ]	"-0,00600"		"0,00600"	ug/L	"0,00300"	ND
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	111  Cd  [ No Gas ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	121  Sb  [ No Gas ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	208  Pb  [ No Gas ]				ug/L		NA
20/1405	Renseanl. Vann	Bekkelaget	NR-2020-08171	ng/L	ug/L	ng/L	202  Hg  [ No Gas ]				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Fettprosent						NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PeCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	HCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-18				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-28				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-31				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-33				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-37				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum-TriCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-47				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-52				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-66				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-74				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum-TetCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-99				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-101				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-105				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-114				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-118				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-122				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-123				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum-PenCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-128				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-138				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-141				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-149				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-153				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-156				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-157				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-167				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum-HexCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-170				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-180				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-183				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-187				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-189				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum-HepCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-194				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-206				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PCB-209				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum 7 PCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	Sum all PCB				ng/L		NA
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	TBA	"-0,0226"		"0,0226"	ng/L	"0,0113"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-17	"-0,0116"		"0,0116"	ng/L	"0,00580"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-28	"-0,0128"		"0,0128"	ng/L	"0,00640"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-47	"-0,0537"		"0,0537"	ng/L	"0,0269"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-49	"-0,00929"		"0,00929"	ng/L	"0,00465"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-66	"-0,00881"		"0,00881"	ng/L	"0,00441"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-71	"-0,00689"		"0,00689"	ng/L	"0,00345"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-77	"-0,00675"		"0,00675"	ng/L	"0,00338"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-85	"-0,00791"		"0,00791"	ng/L	"0,00396"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-99	"0,0256"	"0,0256"		ng/L	"0,0256"	>LOQ
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-100	"-0,0111"		"0,0111"	ng/L	"0,00555"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-119	"-0,00724"		"0,00724"	ng/L	"0,00362"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-126	"-0,00601"		"0,00601"	ng/L	"0,00301"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-138	"-0,0219"		"0,0219"	ng/L	"0,0110"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-153	"-0,0206"		"0,0206"	ng/L	"0,0103"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-154	"-0,0174"		"0,0174"	ng/L	"0,00870"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-156	"-0,0337"		"0,0337"	ng/L	"0,0169"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-183	"-0,0144"		"0,0144"	ng/L	"0,00720"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-184	"-0,0137"		"0,0137"	ng/L	"0,00685"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-191	"-0,0193"		"0,0193"	ng/L	"0,00965"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-196	"-0,0266"		"0,0266"	ng/L	"0,0133"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-197	"-0,0208"		"0,0208"	ng/L	"0,0104"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-202	"-0,0311"		"0,0311"	ng/L	"0,0155"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-206	"-0,0866"		"0,0866"	ng/L	"0,0433"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-207	"-0,0547"		"0,0547"	ng/L	"0,0273"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	PBDE-209	"-0,732"		"0,732"	ng/L	"0,366"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	ATE (TBP-AE)	"-0,0263"		"0,0263"	ng/L	"0,0132"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	a-TBECH	"-0,208"		"0,208"	ng/L	"0,104"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	b-TBECH	"-0,154"		"0,154"	ng/L	"0,0770"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	g/d-TBECH	"-0,0856"		"0,0856"	ng/L	"0,0428"	ND
20/1406	Renseanl. Vann	Bekkelaget	NR-2020-08172	ng/L	ug/L	ng/L	BATE	"-0,0294"		"0,0294"	ng/L	"0,0147"	ND
